,consumption_score,technology_score,medicine_score,emerging_score,macroeconomic_policy_factor,heat_score,heat_growth_score,sentiment_score,public_opinion_factor,delta_v_score,delta_ratio_score,position_score,foreign_shareholder_factor,rev_score,EPS_score,NI_score,ROE_score,institution_expectation_factor,oi_score,tp_score,np_score,npp_score,cfo_score,at_score,it_score,art_score,roe_score,roa_score,gpm_score,sfgr_score,d2a_score,cr_score,cfogr_score,financial_factor
sz002261,1.330197870861946,0.5867629082526643,0.0,0.15163266492815836,2.0685934440427687,,,,,,,,,,,,,,0.0933765298776098,0.01870520783564262,0.021309125656951745,0.05002390057361377,0.06390112579539893,0.026079595860029572,0.020525448028673836,0.02574618038442583,0.010246883988494729,0.022428674178853993,0.0057128906250000005,0.0005047955577990926,0.02856951743908266,0.020339926739926743,0.017187003610108303,0.4246568061516116
sz300770,1.2964009086031965,0.0,0.0,0.0,1.2964009086031965,,,,,,,,,0.1457028531663187,0.13885461373390556,0.12231980617807389,0.08759071117561683,0.49446798425391497,0.03508519318454524,0.05169612995699953,0.05117056856187291,0.056477055449330786,0.0723935389133627,0.01847609659931001,0.01575483870967742,0.020143173977328736,0.027181208053691275,0.032630064732678016,0.038562011718750004,0.008152448258455324,0.016507883420926902,0.04651428571428572,0.025319855595667875,0.5160643528468825
sz300413,1.2582488200705952,0.4653415392847472,0.0,1.1934254549909957,2.917015814346338,,,,,,,,,0.16261308281141265,0.13810354077253217,0.14191399152029072,0.10809143686502176,0.5507220519692573,0.09599232061435087,0.08607262302914477,0.08635929288103202,0.08766730401529638,0.08303964757709252,0.02351798915722031,0.031194265232974916,0.0221761951700345,0.040016778523489935,0.04520498681371374,0.028833007812500002,0.04063604240282686,0.018620640229335884,0.03581245421245421,0.031594223826714805,0.7567377714981816
sh603005,1.193425454990996,0.6098667968287423,0.0,0.11613975509022786,1.9194320069099662,,,,,,,,,0.1690501043841336,0.16943401287553647,0.17696850393700786,0.1624818577648766,0.6779344789615545,0.02025437964962803,0.04039655996177735,0.04187768752986144,0.058006692160611856,0.09696524718551151,0.002464021685559389,0.021708243727598567,0.0035211927057663874,0.03415627996164909,0.046463677775113885,0.0025146484375,0.028697627460878346,0.020465360726230293,0.016004395604395604,0.045429602888086645,0.4789256174601684
sz002925,1.1729983998647522,0.22620935450898988,0.0,0.17326015502161038,1.5724679093953524,,,,,,,,,0.1651704940848991,0.12285407725321887,0.1387038158691702,0.0995101596516691,0.5262385468589572,0.014638828893688505,0.0008361204013377926,0.005494505494505495,0.013695028680688337,0.032794909446891826,0.024233612617052737,0.03209318996415771,0.022769837358304585,0.001977468839884947,0.0278710141452889,0.02947998046875,0.032748611812216055,0.056413760152890596,0.02014652014652015,0.023556678700361013,0.33875006712253863
sz002384,1.1625946604711053,0.8492436954110627,0.0,0.0,2.011838355882168,,,,,,,,,0.07710508002783577,0.12132510729613732,0.10563294972743792,0.13532293178519594,0.43938606883660697,0.09868010559155269,0.022957477305303394,0.025059722885809845,0.028561185468451246,0.07902594224180128,0.02066362740266141,0.01844372759856631,0.020866929521931987,0.013099232981783318,0.022992088228242627,0.029064941406250003,0.015585562847046947,0.02700860009555662,0.04032527472527473,0.03435812274368231,0.49669254104391475
sz002475,1.1446603795632568,1.1244092476961602,0.0,0.6456941354913803,2.9147637627507974,,,,,,,,,0.20509742519137092,0.16038090128755364,0.1745305875227135,0.07995283018867924,0.6199617441903172,0.06217902567794577,0.05489727663640707,0.05487338748208314,0.06044455066921606,0.03338228095937348,0.023672498767865945,0.016393548387096776,0.02426614095613603,0.03457574304889741,0.028877966914409015,0.0291748046875,0.011256940938919735,0.042050167224080275,0.02038827838827839,0.05484909747292419,0.5512817082111333
sz300782,1.1330582671952998,0.8912542420747984,0.0,0.0,2.024312509270098,,,,,,,,,0.2165796798886569,0.19180525751072958,0.19194427619624468,0.07639695210449927,0.6767261657001304,0.042884569234461246,0.05606784519827999,0.05998566650740564,0.07564531548757171,0.0986784140969163,0.0233390832922622,0.025201433691756276,0.019517003449975357,0.03738015340364333,0.03812035483097578,0.029345703125,0.024533064109035843,0.01582990922121357,0.044177289377289375,0.006274368231046931,0.5969801732568334
sz002230,1.1104219980870256,1.0905780737979722,0.0,0.34677435368202925,2.5477744255670274,,,,,,,,,0.1964161447459986,0.1895788626609442,0.19774379164142944,0.20410014513788097,0.7878389441862532,0.03201343892488601,0.0904204491161013,0.08884376493072145,0.04144359464627151,0.06534508076358296,0.01917545588960079,0.03135197132616488,0.01916732380482997,0.046021093000958774,0.03488372093023256,0.023291015625,0.037847046945986874,0.02555805064500717,0.042114285714285715,0.017822382671480147,0.6152986749351103
sz000725,1.0648543117730034,0.8118618493279679,0.0,0.32417217050075486,2.200888331601726,0.48981670061099797,0.4185336048879837,,0.9083503054989817,,,,,0.11482254697286012,0.16751609442060084,0.15996365838885523,0.17066400580551525,0.6129663055878315,0.09407247420206384,0.007477305303392259,0.00389393215480172,0.0005258126195028681,0.009789525208027412,0.022981271562345987,0.028497491039426528,0.022143666830951206,0.004314477468839885,0.0030208583073603455,0.00084228515625,0.009742554265522464,0.022578117534639276,0.01898608058608059,0.009212996389891696,0.2580788486290961
