trade_date,stock_code,volume,ratio,exchange
20210104,600000.SH,496580966,1.69,SH
20210104,600004.SH,168895898,8.16,SH
20210104,600006.SH,32282,0.0,SH
20210104,600007.SH,10656733,1.05,SH
20210104,600008.SH,100890917,1.37,SH
20210104,600009.SH,264796368,24.21,SH
20210104,600010.SH,634492938,2.0,SH
20210104,600011.SH,179783936,1.63,SH
20210104,600012.SH,24552565,2.1,SH
20210104,600015.SH,240932868,1.87,SH
20210104,600016.SH,717384796,2.02,SH
20210104,600017.SH,1699004,0.05,SH
20210104,600018.SH,147280046,0.63,SH
20210104,600019.SH,1479797695,6.67,SH
20210104,600020.SH,16034279,0.71,SH
20210104,600021.SH,21993664,0.93,SH
20210104,600023.SH,3977065,0.02,SH
20210104,600025.SH,62611955,0.34,SH
20210104,600026.SH,37935290,1.38,SH
20210104,600027.SH,89771197,1.1,SH
20210104,600028.SH,844680923,0.88,SH
20210104,600029.SH,625200729,7.7,SH
20210104,600030.SH,307053247,3.12,SH
20210104,600031.SH,796983769,9.4,SH
20210104,600033.SH,822491,0.02,SH
20210104,600036.SH,1059454585,5.13,SH
20210104,600037.SH,461575,0.03,SH
20210104,600038.SH,14669711,2.48,SH
20210104,600039.SH,68328744,1.89,SH
20210104,600048.SH,505244023,4.22,SH
20210104,600050.SH,460536071,1.5,SH
20210104,600053.SH,6074636,1.4,SH
20210104,600054.SH,1145980,0.22,SH
20210104,600056.SH,7321514,0.68,SH
20210104,600057.SH,24693877,1.14,SH
20210104,600058.SH,118659,0.01,SH
20210104,600059.SH,217608,0.02,SH
20210104,600060.SH,12705469,0.97,SH
20210104,600061.SH,47325918,1.11,SH
20210104,600062.SH,31124200,2.98,SH
20210104,600063.SH,1551641,0.08,SH
20210104,600064.SH,1160214,0.09,SH
20210104,600066.SH,128842142,5.81,SH
20210104,600067.SH,973373,0.06,SH
20210104,600068.SH,62500995,1.35,SH
20210104,600070.SH,5354501,1.02,SH
20210104,600072.SH,8382462,1.13,SH
20210104,600073.SH,10067864,1.07,SH
20210104,600075.SH,33911,0.0,SH
20210104,600077.SH,249,0.0,SH
20210104,600078.SH,6215,0.0,SH
20210104,600079.SH,26689948,1.97,SH
20210104,600081.SH,260608,0.08,SH
