,macroeconomic_policy_factor,public_opinion_factor,foreign_shareholder_factor,institution_expectation_factor,price_volume_factor,financial_factor,mutual_fund_factor,total_factor,name,update_date
sz002049,0.12533205139476328,0.09787720483691395,0.0,0.09413475428550414,0.09212078604290207,0.08782257112949426,0.00010666040522694939,0.49739402809480465,紫光国微,20210310
sz000661,0.0695660608377612,0.12052561555343291,0.0,0.08322242512820005,0.0990896992082419,0.0972929470847657,4.3202072331251846e-05,0.46973994988473305,长春高新,20210310
sz002241,0.14285714285714285,0.0,0.0,0.10317716245059265,0.0873716471432637,0.13602726645137816,0.00010631810155942685,0.46953953700393686,歌尔股份,20210310
sz000063,0.0963083262747827,0.10743428541067515,0.0,0.08326073018282573,0.10305387129381387,0.07554619924248382,0.00034355367033435895,0.4659469660749156,中兴通讯,20210310
sh600845,0.1395733662681589,0.0,0.0,0.08296207588728027,0.12850625345088326,0.11288876707280858,0.0,0.463930462679131,宝信软件,20210310
sz002074,0.025290219836100625,0.11961336424272045,0.0,0.12069696584907481,0.09152617956415486,0.10495067060877324,0.0006042483298123105,0.4626816484306363,国轩高科,20210310
sz000725,0.09693109182313478,0.1269289835580427,0.0,0.09426536619402343,0.09790025357790219,0.0452333344405648,5.9650385280942634e-05,0.4613186799789488,京东方Ａ,20210310
sz000977,0.1248373738743197,0.06303760057871403,0.0,0.09916026611498426,0.09384209462822245,0.07132526107975815,0.0003926854439425516,0.4525952817199411,浪潮信息,20210310
sh600588,0.09229390949837807,0.0,0.0,0.12588492662280804,0.13321022428964224,0.09956643131560503,0.0,0.45095549172643334,用友网络,20210310
sz002027,0.039548597215144886,0.12038331848666382,0.0,0.07506711182036245,0.09266381986523199,0.12153436236801599,5.960844246244073e-05,0.44925681819788155,分众传媒,20210310
sz000710,0.05244293692811131,0.11070711794636459,0.0,0.08579205877685671,0.09821027910987937,0.09898444486295016,0.0,0.4461368376241622,贝瑞基因,20210310
sz300059,0.06084395383871644,0.11084941501313371,0.0,0.09422079238874817,0.06415503612364917,0.1151515682689385,4.866323619500835e-05,0.445269428869381,东方财富,20210310
sh600584,0.0893403091119222,0.0,0.0,0.10896580329045923,0.13329288983504478,0.11145334025482741,0.00027725905876794886,0.4433296015510216,长电科技,20210310
sh688088,0.10649485403514933,0.0,0.0,0.11417036861884339,0.10814313071256913,0.11288396662114666,0.0,0.4416923199877085,虹软科技,20210310
sh603236,0.0981479045019213,0.0,0.0,0.13744672108585027,0.11883461120113374,0.08502927367202877,0.001832959605720054,0.44129147006665415,移远通信,20210310
sh600104,0.02721103778019658,0.10999563261251906,0.0,0.06508528488965783,0.14124271195714788,0.09589115631880103,4.4899865750929244e-05,0.4394707234240733,上汽集团,20210310
sh600460,0.10646325042050947,0.0,0.0,0.09386993004953337,0.13541480889699561,0.09979093274748155,0.0007175628411886406,0.43625648495570857,士兰微,20210310
sh603259,0.10935323746575723,0.0,0.0,0.10782918010295256,0.11872624012914645,0.09348095474880218,0.00011718385119955681,0.42950679629785804,药明康德,20210310
sz002230,0.11220858107305452,0.0,0.0,0.12115825274345106,0.08765244704563771,0.10784305219904178,0.0005421465841987005,0.42940447964538375,科大讯飞,20210310
sz000830,0.010649485403514935,0.11526062408297601,0.0,0.1118413330917433,0.09624538334150545,0.09378393903996121,0.0,0.42778076495970085,鲁西化工,20210310
sz002024,0.03847497370143918,0.09590822300237756,0.0,0.1126526829067983,0.09273772228768107,0.08753626926053304,0.0,0.4273098711588291,苏宁易购,20210310
sz000799,0.008156742659552773,0.08480905179438727,0.0,0.10866989213326639,0.09682280357143462,0.1277905531242084,0.0,0.42624904328284946,酒鬼酒,20210310
sh600109,0.005229943426775229,0.1245099334229679,0.0,0.04720365497501846,0.14114159033542628,0.10604986563679022,0.0,0.4241349877969781,国金证券,20210310
sz000938,0.1280338192395488,0.060903144577177444,0.0,0.04572925264429304,0.09447669473684735,0.09147077688028955,0.0003296851784304917,0.42094337325658665,紫光股份,20210310
sz002410,0.10883213169568351,0.0,0.0,0.12646309208212256,0.0830597693946936,0.09852861112685225,0.0002368854986169725,0.41712048979796884,广联达,20210310
sh600536,0.1155726422490362,0.0,0.0,0.049844549169499035,0.13413907635699485,0.11660764477628416,0.0003497212942467096,0.41651363384606094,中国软件,20210310
sz000066,0.05674794711954155,0.08381297232700352,0.0,0.08190292970023687,0.10300743736142426,0.08979613089237908,0.0002588425735280898,0.4155262599741134,中国长城,20210310
sh603290,0.0638969124210896,0.0,0.0,0.10912107506073646,0.11844426963362432,0.12321626221308207,0.0,0.41467851932853245,斯达半导,20210310
sz000513,0.053390466537314704,0.09405836113437917,0.0,0.06318763068252234,0.10165599552152006,0.10114571771231162,0.0,0.4134381715880479,丽珠集团,20210310
sh600276,0.07622383642734555,0.0,0.0,0.08612707051722933,0.13825859951387706,0.11262191732616925,7.523613256017288e-05,0.41330665991718135,恒瑞医药,20210310
sz002065,0.0875886205248628,0.12084329010118529,0.0,0.0607602663334854,0.09172464046257492,0.05197337974969572,0.00026253478884457097,0.4131527319606488,东华软件,20210310
sz000021,0.023759328752861162,0.0949121435349938,0.0,0.09869266303997289,0.10374906951108892,0.08946472705794373,0.0007181740815800408,0.4112961059784405,深科技,20210310
sh600079,0.04018454499255933,0.08879336966392225,0.0,0.07360974724389434,0.14168733759289104,0.06532990313091168,0.0,0.40960490262417865,人福医药,20210310
sz000301,0.0,0.09476984646822471,0.0,0.13187479968916802,0.1025424895923143,0.0785640803571732,0.0,0.40775121610688025,东方盛虹,20210310
sh603501,0.07920120482343042,0.0,0.0,0.09280886242430904,0.11663685604020603,0.11592358682157708,1.807122829522855e-05,0.40458858133781783,韦尔股份,20210310
sz000860,0.011982735207449824,0.08466675472761817,0.0,0.09276448669538309,0.09588349052109468,0.11808847427274477,0.0,0.4033859414242906,顺鑫农业,20210310
sz000568,0.006752791780674597,0.11440684168236136,0.0,0.07233403480086122,0.10055378618664508,0.10842337356056866,0.0,0.4024708280111109,泸州老窖,20210310
sz000636,0.054027151092002366,0.051369241103647316,0.0,0.1242833385486377,0.09935031715484537,0.07253210511142703,0.0008622687884908749,0.4024244217990507,风华高科,20210310
sz000423,0.0,0.11241468274759386,0.0,0.09126175365457281,0.1020530911291178,0.09586957579108575,0.00023187044614554175,0.40183097376851573,东阿阿胶,20210310
sz002475,0.1283714534141437,0.0,0.0,0.09534116363270766,0.08135671421277066,0.09662283449783148,5.747630443939648e-05,0.4017496420618929,立讯精密,20210310
sz002008,0.037862138687129614,0.09391606406761008,0.0,0.06763049925058132,0.09310670924484633,0.1073625727767254,0.0005381751827722765,0.400416159209665,大族激光,20210310
