,stock_code,style
0,sz002157,largegrowth
1,sh603195,largegrowth
2,sh601100,largegrowth
3,sh600745,largegrowth
4,sz300782,largegrowth
5,sz300347,largegrowth
6,sz300014,largegrowth
7,sz002602,largegrowth
8,sz002600,largegrowth
9,sz002271,largegrowth
10,sz300454,largegrowth
11,sz300433,largegrowth
12,sz002916,largegrowth
13,sz002555,largegrowth
14,sz000708,largegrowth
15,sz300601,largegrowth
16,sh600346,largegrowth
17,sh600570,largegrowth
18,sh603986,largegrowth
19,sh603501,largegrowth
20,sh601919,largegrowth
21,sh601377,largegrowth
22,sh600588,largegrowth
23,sz002007,largegrowth
24,sz002032,largegrowth
25,sz002607,largegrowth
26,sz300003,largegrowth
27,sh600025,largegrowth
28,sh600809,largegrowth
29,sh601888,largegrowth
30,sh603833,largegrowth
31,sz000858,largegrowth
32,sz000568,largegrowth
33,sh603019,largegrowth
34,sz300760,largegrowth
35,sz000661,largegrowth
36,sh600332,largegrowth
37,sz002120,largegrowth
38,sh600585,largegrowth
39,sh603160,largegrowth
40,sz002841,largegrowth
41,sh601225,largegrowth
42,sz300122,largegrowth
43,sh603259,largegrowth
44,sz000338,largegrowth
45,sz002024,largegrowth
46,sh600031,largegrowth
47,sh600436,largegrowth
48,sz300750,largegrowth
49,sh603993,largegrowth
50,sh600519,largegrowth
51,sh600010,largegrowth
52,sz300015,largegrowth
53,sh601155,largegrowth
54,sh600309,largegrowth
55,sz002714,largegrowth
56,sh601012,largegrowth
57,sz002475,largegrowth
58,sh603288,largegrowth
59,sz300498,largegrowth
60,sz002230,largegrowth
61,sh600340,largegrowth
62,sz000333,largegrowth
63,sz002415,largegrowth
64,sz002236,largegrowth
65,sz000651,largegrowth
0,sz000617,largevalue
1,sh601985,largevalue
3,sh601916,largevalue
4,sh600115,largevalue
5,sh600050,largevalue
7,sz003816,largevalue
9,sz000776,largevalue
10,sh600000,largevalue
11,sh600015,largevalue
12,sh601336,largevalue
13,sh601628,largevalue
14,sh601658,largevalue
15,sh600919,largevalue
16,sz001979,largevalue
17,sz001965,largevalue
18,sh601633,largevalue
20,sh600926,largevalue
23,sh600016,largevalue
24,sh601229,largevalue
26,sh600606,largevalue
28,sh601390,largevalue
29,sh600660,largevalue
31,sh601111,largevalue
32,sh601601,largevalue
33,sh600023,largevalue
35,sh601669,largevalue
36,sh601800,largevalue
37,sh601618,largevalue
38,sh600886,largevalue
39,sh600048,largevalue
40,sz000069,largevalue
41,sh601318,largevalue
43,sh601288,largevalue
44,sh601818,largevalue
45,sh601668,largevalue
46,sh600900,largevalue
47,sh600383,largevalue
48,sz000002,largevalue
49,sh601088,largevalue
50,sh600741,largevalue
51,sh601186,largevalue
52,sh601857,largevalue
53,sh600019,largevalue
54,sh600028,largevalue
55,sh600036,largevalue
56,sh600104,largevalue
57,sh601006,largevalue
58,sh601009,largevalue
59,sh601169,largevalue
60,sh601328,largevalue
61,sh601398,largevalue
62,sh601939,largevalue
63,sh601988,largevalue
64,sh601998,largevalue
65,sh600011,largevalue
0,sh603983,midgrowth
1,sh603939,midgrowth
2,sh603737,midgrowth
3,sh603638,midgrowth
4,sh603605,midgrowth
5,sh603589,midgrowth
6,sh603444,midgrowth
7,sh603369,midgrowth
8,sh603338,midgrowth
9,sh603290,midgrowth
10,sh600521,midgrowth
11,sh600111,midgrowth
12,sz300595,midgrowth
13,sz300482,midgrowth
14,sz300357,midgrowth
15,sz300285,midgrowth
16,sz300223,midgrowth
17,sz300207,midgrowth
18,sz300012,midgrowth
19,sz002821,midgrowth
20,sz002146,midgrowth
21,sz002075,midgrowth
22,sz002064,midgrowth
23,sz000157,midgrowth
24,sz000401,midgrowth
25,sz000656,midgrowth
26,sz000785,midgrowth
27,sz000961,midgrowth
28,sz000977,midgrowth
29,sz001872,midgrowth
30,sz002212,midgrowth
31,sz002399,midgrowth
32,sz002901,midgrowth
33,sz300699,midgrowth
34,sh600132,midgrowth
35,sh600155,midgrowth
36,sh600516,midgrowth
37,sh600871,midgrowth
38,sh601808,midgrowth
39,sh603568,midgrowth
40,sz000975,midgrowth
41,sz002372,midgrowth
42,sz002463,midgrowth
43,sz300529,midgrowth
44,sz300759,midgrowth
45,sz300773,midgrowth
46,sh600487,midgrowth
47,sh600733,midgrowth
48,sh603707,midgrowth
49,sh603799,midgrowth
50,sh603816,midgrowth
51,sh603899,midgrowth
52,sz002127,midgrowth
53,sz002180,midgrowth
54,sh603658,midgrowth
55,sz000898,midgrowth
56,sh600675,midgrowth
57,sz002507,midgrowth
58,sz002460,midgrowth
59,sz300628,midgrowth
60,sz300136,midgrowth
61,sh600426,midgrowth
62,sz002353,midgrowth
63,sh600699,midgrowth
64,sh603659,midgrowth
65,sh600763,midgrowth
66,sz000723,midgrowth
67,sz002299,midgrowth
68,sz300308,midgrowth
69,sz002925,midgrowth
70,sh600188,midgrowth
71,sz000425,midgrowth
72,sh601233,midgrowth
73,sh600380,midgrowth
74,sh600801,midgrowth
75,sz000932,midgrowth
76,sz002384,midgrowth
77,sz000703,midgrowth
78,sz300316,midgrowth
79,sh600161,midgrowth
80,sh600779,midgrowth
81,sh603260,midgrowth
82,sz002601,midgrowth
83,sz000627,midgrowth
84,sz300450,midgrowth
85,sh601997,midgrowth
86,sz002468,midgrowth
87,sz002624,midgrowth
88,sz300383,midgrowth
89,sz002179,midgrowth
90,sz002572,midgrowth
91,sz300418,midgrowth
92,sz000671,midgrowth
93,sz300144,midgrowth
94,sh601021,midgrowth
95,sz002439,midgrowth
96,sz300146,midgrowth
97,sz002153,midgrowth
98,sz002294,midgrowth
99,sz002129,midgrowth
1,sh601966,midvalue
2,sh601898,midvalue
3,sh601607,midvalue
4,sh601600,midvalue
5,sh601108,midvalue
6,sh600977,midvalue
7,sh600968,midvalue
8,sh600795,midvalue
9,sh600705,midvalue
11,sh600511,midvalue
12,sh600176,midvalue
13,sz300070,midvalue
14,sz002958,midvalue
16,sz002423,midvalue
18,sz002202,midvalue
20,sz002080,midvalue
21,sz000999,midvalue
22,sz000783,midvalue
23,sz000513,midvalue
24,sz000031,midvalue
25,sz000301,midvalue
26,sz000540,midvalue
27,sz000686,midvalue
31,sz002563,midvalue
32,sh600398,midvalue
33,sh600637,midvalue
34,sh600928,midvalue
35,sh601077,midvalue
36,sh601298,midvalue
37,sh601991,midvalue
39,sz000027,midvalue
41,sz000630,midvalue
42,sh600066,midvalue
43,sh600068,midvalue
44,sh600362,midvalue
46,sh600522,midvalue
47,sh600663,midvalue
50,sh601872,midvalue
52,sh603156,midvalue
53,sz300741,midvalue
54,sh600390,midvalue
55,sh600089,midvalue
58,sh601216,midvalue
59,sh600350,midvalue
60,sh600377,midvalue
61,sh600528,midvalue
62,sh601828,midvalue
63,sh600739,midvalue
64,sh601992,midvalue
65,sh600153,midvalue
67,sz000709,midvalue
68,sz000728,midvalue
69,sh601838,midvalue
70,sh603858,midvalue
72,sz002078,midvalue
74,sh600219,midvalue
76,sh600674,midvalue
79,sz000046,midvalue
81,sz000825,midvalue
82,sh600598,midvalue
85,sz002081,midvalue
86,sh600208,midvalue
87,sh600688,midvalue
89,sh600297,midvalue
90,sh600704,midvalue
91,sh600875,midvalue
92,sh601117,midvalue
93,sz000883,midvalue
94,sh600177,midvalue
95,sh600642,midvalue
96,sh600170,midvalue
98,sh600027,midvalue
99,sh600655,midvalue
0,sz000933,smallgrowth
1,sh603719,smallgrowth
2,sh603713,smallgrowth
3,sh603613,smallgrowth
4,sh603489,smallgrowth
5,sh603127,smallgrowth
6,sh603039,smallgrowth
7,sh600984,smallgrowth
8,sh600881,smallgrowth
9,sh600673,smallgrowth
10,sh600466,smallgrowth
11,sh600307,smallgrowth
12,sh600256,smallgrowth
13,sh600160,smallgrowth
14,sz300815,smallgrowth
15,sz300761,smallgrowth
16,sz300751,smallgrowth
17,sz300747,smallgrowth
18,sz300725,smallgrowth
19,sz300702,smallgrowth
