,gics3,gics3_no
0,151040,0
1,551040,1
2,203010,2
3,251010,3
4,502020,4
5,151050,5
6,352010,6
7,203020,7
8,251020,8
9,502030,9
10,551050,10
11,101010,11
12,453010,12
13,352020,13
14,501010,14
15,203030,15
16,202010,16
17,101020,17
18,501020,18
19,352030,19
20,203040,20
21,255010,21
22,303010,22
23,202020,23
24,351010,24
25,203050,25
26,452010,26
27,255020,27
28,303020,28
29,351020,29
30,201010,30
31,601010,31
32,452020,32
33,255030,33
34,351030,34
35,302010,35
36,201020,36
37,601020,37
38,452030,38
39,255040,39
40,403010,40
41,302020,41
42,201030,42
43,451020,43
44,201040,44
45,253010,45
46,301010,46
47,451030,47
48,201050,48
49,402010,49
50,253020,50
51,151010,51
52,551010,52
53,201060,53
54,402020,54
55,252010,55
56,151020,56
57,551020,57
58,201070,58
59,402030,59
60,401010,60
61,252020,61
62,151030,62
63,551030,63
64,402040,64
65,502010,65
66,401020,66
67,252030,67
