stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000001.SZ,19117507524.0,450217302193.60004,平安银行,1,0,平安银行股份有限公司,26492,2021-05-13 00:00:00,401010,40101010
000002.SZ,11557558967.0,312400818884.89,万科A,1,0,万科企业股份有限公司,87,2021-05-13 00:00:00,601020,60102030
000004.SZ,167024056.0,2517052531.25,国华网安,1,0,深圳国华网安科技股份有限公司,0,2021-05-13 00:00:00,451020,45102010
000005.SZ,1109211478.0,2085317578.74,ST星源,1,1,深圳世纪星源股份有限公司,872,2021-05-13 00:00:00,551040,55104010
000006.SZ,1352499675.0,7289973248.400001,深振业A,1,0,深圳市振业(集团)股份有限公司,26493,2021-05-13 00:00:00,601020,60102030
000007.SZ,364113949.0,1285322243.24,*ST全新,1,1,深圳市全新好股份有限公司,873,2021-05-13 00:00:00,253010,25301020
000008.SZ,2780795346.0,6368021342.34,神州高铁,1,0,神州高铁技术股份有限公司,26494,2021-05-13 00:00:00,203040,20304010
000009.SZ,2550785754.0,25456841834.550003,中国宝安,1,0,中国宝安集团股份有限公司,28368,2021-05-13 00:00:00,201050,20105010
000010.SZ,819854713.0,3402397058.9500003,美丽生态,1,0,深圳美丽生态股份有限公司,26495,2021-05-13 00:00:00,201030,20103010
000011.SZ,598951556.0,7205387222.280001,深物业A,1,0,深圳市物业发展(集团)股份有限公司,26496,2021-05-13 00:00:00,601020,60102030
000012.SZ,3003646427.0,27513401278.72,南玻A,1,0,中国南玻集团股份有限公司,874,2021-05-13 00:00:00,151020,15102010
000014.SZ,202221717.0,1579351614.21,沙河股份,1,0,沙河实业股份有限公司,26497,2021-05-13 00:00:00,601020,60102030
000016.SZ,2418792008.0,16109154779.52,深康佳A,1,0,康佳集团股份有限公司,14703,2021-05-13 00:00:00,252010,25201010
000017.SZ,557031946.0,1620962964.18,*ST中华A,1,1,深圳中华自行车(集团)股份有限公司,26498,2021-05-13 00:00:00,252020,25202010
000019.SZ,1141877728.0,8644014405.0,深粮控股,1,0,深圳市深粮控股股份有限公司,26499,2021-05-13 00:00:00,302010,30201030
000020.SZ,283471710.0,2585262002.51,深华发A,1,0,深圳中恒华发股份有限公司,26500,2021-05-13 00:00:00,452030,45203015
000021.SZ,1481693826.0,25070259545.52,深科技,1,0,深圳长城开发科技股份有限公司,26501,2021-05-13 00:00:00,452020,45202030
000023.SZ,139270469.0,2254788900.0,深天地A,1,0,深圳市天地(集团)股份有限公司,26502,2021-05-13 00:00:00,151020,15102010
000025.SZ,431941636.0,6323625554.400001,特力A,1,0,深圳市特力(集团)股份有限公司,26503,2021-05-13 00:00:00,255040,25504050
000026.SZ,431907925.0,7230138665.200001,飞亚达,1,0,飞亚达精密科技股份有限公司,26504,2021-05-13 00:00:00,252030,25203010
000027.SZ,4840852896.0,46907864571.76,深圳能源,1,0,深圳能源集团股份有限公司,26505,2021-05-13 00:00:00,551010,55101010
000028.SZ,433358459.0,17377674239.97,国药一致,1,0,国药集团一致药业股份有限公司,26506,2021-05-13 00:00:00,352010,35201010
000029.SZ,1004870335.0,7486284000.0,深深房A,1,0,深圳经济特区房地产(集团)股份有限公司,26507,2021-05-13 00:00:00,601020,60102030
000030.SZ,1792394711.0,12510915087.009998,富奥股份,1,0,富奥汽车零部件股份有限公司,26508,2021-05-13 00:00:00,251010,25101010
000030.SZ,1792394711.0,12510915087.009998,富奥股份,1,0,富奥汽车零部件股份有限公司,26508,2021-05-13 00:00:00,0,0
000031.SZ,4286313339.0,16588032621.93,大悦城,1,0,大悦城控股集团股份有限公司,26509,2021-05-13 00:00:00,601020,60102030
000032.SZ,454456602.0,8834636352.18,深桑达A,1,0,深圳市桑达实业股份有限公司,26510,2021-05-13 00:00:00,452030,45203030
000034.SZ,658823190.0,11213170709.0,神州数码,1,0,神州数码集团股份有限公司,26511,2021-05-13 00:00:00,452030,45203030
000034.SZ,658823190.0,11213170709.0,神州数码,1,0,神州数码集团股份有限公司,26511,2021-05-13 00:00:00,0,0
000035.SZ,2501590243.0,11382235609.470001,中国天楹,1,0,中国天楹股份有限公司,26512,2021-05-13 00:00:00,202010,20201050
000036.SZ,1491912164.0,5549913253.500001,华联控股,1,0,华联控股股份有限公司,26513,2021-05-13 00:00:00,601020,60102030
000037.SZ,600560053.0,4930598035.28,深南电A,1,0,深圳南山热电股份有限公司,26514,2021-05-13 00:00:00,551010,55101010
000038.SZ,513575134.0,6126951350.679999,深大通,1,0,深圳大通实业股份有限公司,13231,2021-05-13 00:00:00,502010,50201010
